Artist,Year,Month,Season,Gender,Age,Age.Group,Grammy,Genre,BB.wk.top10,Twitter ,Twitter.100k,Facebook,Facebook.100k
Jack White,2013,February,winter,M,38,Thirties,Y,Rock/Folk/Indie,1,,,839630,1
Jakob Dylan,2008,October,fall,M,43,Forties,Y,Rock/Folk/Indie,0,113044,1,44785,0
James Blunt,2007,January,winter,M,39,Thirties,N,Singer-Songwriter,1,182613,1,5187219,1
James McMurtry,2007,January,winter,M,51,Fifties or Older,N,Rock/Folk/Indie,,7361,0,23611,0
Jeff Bridges,2011,November,fall,F,63,Fifties or Older,N,Country,0,46193,0,141809,1
Jimmy Cliff,2010,October,fall,M,65,Fifties or Older,Y,Jazz/Blues,0,7114,0,175356,1
Joanna Newsom,2012,January,winter,F,31,Thirties,N,Rock/Folk/Indie,0,,,136432,1
John Mayer,2007,December,winter,M,35,Thirties,Y,Singer-Songwriter,1,175564,1,5930797,1
Juanes,2006,October,fall,M,40,Forties,Y,Rock/Folk/Indie,0,8015659,1,5732628,1
Kat Edmonson,2013,February,winter,F,29,Twenties,N,Singer-Songwriter,0,2204,0,8960,0
Kimbra,2012,October,fall,F,23,Twenties,Y,Rock/Folk/Indie,0,129416,1,417953,1
Kings of Leon,2008,January,winter,M,31,Thirties,Y,Rock/Folk/Indie,1,244763,1,11312806,1
K'naan,2010,January,winter,M,35,Thirties,N,Rock/Folk/Indie,0,182042,1,801006,1
Lykke Li,2012,January,winter,F,27,Twenties,N,Singer-Songwriter,0,106202,1,1057184,1
Lyle Lovett,2011,January,winter,M,55,Fifties or Older,Y,Country,0,15174,0,128115,1
Madeleine Peyroux,2010,February,winter,F,39,Thirties,N,Jazz/Blues,0,3038,0,94352,0
Manu Chao,2009,January,winter,M,52,Fifties or Older,Y,Rock/Folk/Indie,0,840317,1,1661113,1
Miranda Lambert,2011,November,fall,F,29,Twenties,Y,Country,1,2583357,1,5015090,1
Mos Def,2010,January,winter,M,39,Thirties,N,Rock/Folk/Indie,1,99239,0,1299545,1
Mumford and Sons,2011,October,fall,M,26,Twenties,Y,Rock/Folk/Indie,0,360753,1,4326053,1
My Morning Jacket,2008,November,fall,M,35,Thirties,N,Rock/Folk/Indie,1,66560,0,368614,1
Neko Case,2003,November,fall,F,42,Forties,N,Rock/Folk/Indie,1,75772,0,157010,1
Nick Lowe,2009,January,winter,M,64,Fifties or Older,N,Singer-Songwriter,0,,,35840,0
Norah Jones,2013,February,winter,F,34,Thirties,Y,Singer-Songwriter,1,178710,1,3115889,1
Okkervil River,2009,October,fall,M,37,Thirties,N,Rock/Folk/Indie,0,62683,0,43210,0
Old Crow Medicine Show,2007,December,winter,M,35,Thirties,Y,Country,0,12893,0,377673,1
Paolo Nutini,2007,November,fall,M,26,Twenties,N,Singer-Songwriter,0,186634,1,829474,1
Pearl Jam,2009,November,fall,M,50,Fifties or Older,Y,Rock/Folk/Indie,1,2098659,1,7796092,1
Pinetop Perkins,2008,October,fall,M,97,Fifties or Older,Y,Jazz/Blues,,1808,0,11968,0
Punch Brothers,2012,February,winter,M,32,Thirties,N,Country,0,,,56633,0
Radiohead,2012,October,fall,M,44,Forties,Y,Rock/Folk/Indie,1,1020353,1,10532203,1
Randy Newman,2011,November,fall,M,69,Fifties or Older,Y,Singer-Songwriter,0,1950,0,33476,0
Raphael Saadiq ,2012,January,winter,M,47,Forties,Y,Jazz/Blues,0,127442,1,419342,1
Ray Davies,2006,October,fall,M,69,Fifties or Older,N,Rock/Folk/Indie,0,,,32734,0
Regina Spektor,2007,September,fall,F,33,Thirties,N,Singer-Songwriter,1,119847,1,1590500,1
Rodrigo y Gabriela,2013,January,winter,M,36,Thirties,N,Rock/Folk/Indie,0,29538,0,315706,1
Roky Erikson,2008,January,winter,M,65,Fifties or Older,N,Rock/Folk/Indie,0,,,22888,0
Rosanne Cash,2003,November,fall,F,58,Fifties or Older,N,Country,0,58994,0,27302,0
Ryan Adams & the Cardinals,2006,January,winter,M,38,Thirties,N,Rock/Folk/Indie,1,489105,1,344108,1
Ryan Bingham,2009,February,winter,M,32,Thirties,Y,Country,0,23929,0,95638,0
Sarah Jarosz,2010,November,fall,F,22,Twenties,N,Singer-Songwriter,0,7359,0,21676,0
Sarah McLachlan,2009,February,winter,F,45,Forties,Y,Singer-Songwriter,1,112023,1,1094819,1
Sharon Jones and the Dap Kings,2008,November,fall,F,57,Fifties or Older,N,Jazz/Blues,0,12832,0,96819,0
Social Distortion,2011,October,fall,M,51,Fifties or Older,N,Rock/Folk/Indie,1,59069,0,902626,1
Spoon,2005,November,fall,M,42,Forties,N,Rock/Folk/Indie,1,38534,0,343303,1
Steve Earle,2010,January,winter,M,58,Fifties or Older,Y,Rock/Folk/Indie,0,23845,0,189080,1
Steve Martin,2010,November,fall,M,67,Fifties or Older,Y,Rock/Folk/Indie,0,4093318,1,357886,1
The Civil Wars,2012,February,winter,F,30,Thirties,Y,Rock/Folk/Indie,1,208376,1,425487,1
The Decemberists,2007,October,fall,M,38,Thirties,N,Rock/Folk/Indie,1,596450,1,546394,1
The Gourds,2006,December,winter,M,45,Forties,N,Country,,1341,0,10878,0
The Polyphonic Spree,2004,November,fall,M,47,Forties,N,Rock/Folk/Indie,0,3284,0,30714,0
The Shins,2012,October,fall,M,42,Forties,N,Rock/Folk/Indie,1,,,619052,1
The Strokes,2010,October,fall,M,34,Thirties,N,Rock/Folk/Indie,1,308637,1,3547961,1
The Swell Season,2009,January,winter,F,43,Forties,N,Rock/Folk/Indie,0,18796,0,115831,1
Them Crooked Vultures,2010,February,winter,M,44,Forties,Y,Rock/Folk/Indie,0,80620,0,556553,1
Thievery Corporation,2008,November,fall,M,43,Forties,N,Rock/Folk/Indie,0,19659,0,439903,1
Tim McGraw,2013,February,winter,M,46,Forties,Y,Country,1,859774,1,5236511,1
Tom Waits,2011,December,winter,M,63,Fifties or Older,N,Singer-Songwriter,1,202327,1,1818741,1
Tune-Yards,2013,February,winter,F,34,Thirties,N,Jazz/Blues,,,,86010,0
Widespread Panic,2011,October,fall,M,51,Fifties or Older,N,Rock/Folk/Indie,0,35150,0,303223,1
Wilco,2012,February,winter,M,45,Forties,Y,Rock/Folk/Indie,1,118222,1,569817,1
Willie Nelson,2009,November,fall,M,80,Fifties or Older,Y,Country,0,267839,1,2023718,1
