user_id,age,gender,student,employed,cyc_freq,distance,time,speed
48,36,M,0,1,Daily,2.15,19,6.79
49,44,M,1,1,Several times per week,9.29,41,13.6
50,52,M,0,1,Several times per week,5.32,26,12.28
51,25,M,0,1,Several times per week,5.31,25,12.74
52,36,F,0,1,Daily,0.63,4,9.45
53,27,F,0,1,Daily,1.78,9,11.87
54,44,M,0,1,Several times per month,8.77,34,15.48
55,51,M,0,1,Daily,3.74,14,16.03
56,24,M,0,1,Daily,5.18,23,13.51
57,48,F,0,1,Less than once a month,4.44,18,14.8
58,26,F,1,1,Daily,2.77,16,10.39
59,44,M,1,1,Several times per week,4.84,22,13.2
60,36,M,0,1,Daily,2.7,12,13.5
61,42,F,0,1,Several times per week,10.48,51,12.33
62,32,F,0,1,Daily,11.01,38,17.38
63,26,M,0,1,Several times per week,1.22,5,14.64
64,40,M,0,1,Several times per month,7.89,43,11.01
65,32,M,0,0,Daily,2.52,8,18.9
66,45,F,0,1,Several times per week,9.25,35,15.86
67,31,M,0,1,Several times per week,2.86,15,11.44
68,41,F,0,1,Several times per week,2.96,14,12.69
69,42,M,0,1,Several times per week,8.05,31,15.58
70,34,M,0,0,Daily,12.21,55,13.32
71,34,M,0,1,Several times per week,5.24,23,13.67
72,26,M,0,1,Daily,11.17,36,18.62
73,43,M,0,1,Several times per week,8.74,37,14.17
74,31,M,0,1,Several times per month,7.31,41,10.7
75,36,M,0,1,Several times per week,7.31,21,20.89
76,48,M,0,1,Several times per week,7.18,24,17.95
77,63,M,1,1,Several times per week,6.56,40,9.84
78,37,M,0,0,Several times per week,4.25,17,15
79,33,F,0,1,Several times per week,6.8,31,13.16
80,27,M,0,1,Daily,7.74,37,12.55
81,29,F,0,1,Daily,8.17,28,17.51
82,41,F,0,1,Several times per week,2.41,10,14.46
83,38,M,0,1,Several times per month,1.41,11,7.69
84,30,M,0,1,Several times per week,8.67,35,14.86
85,29,M,0,1,Daily,2.31,10,13.86
86,22,M,1,0,Daily,0.85,4,12.75
87,61,M,0,1,Several times per month,7,38,11.05
88,25,M,1,1,Several times per week,6.07,29,12.56
89,40,M,0,1,Several times per week,4.56,21,13.03
90,34,M,0,1,Daily,3.9,16,14.63
91,36,M,0,1,Daily,3,13,13.85
92,38,M,0,1,Daily,1.31,5,15.72
93,29,M,0,1,Several times per week,0.52,3,10.4
94,36,F,0,1,Several times per month,3.8,14,16.29
95,29,M,0,1,Several times per week,5.3,21,15.14
96,33,M,0,1,Daily,7.92,49,9.7
97,29,M,1,0,Several times per week,3.52,15,14.08
98,37,M,0,1,Daily,3.13,12,15.65
99,43,M,0,1,Daily,9.72,45,12.96
100,30,M,0,1,Daily,3.85,15,15.4
101,40,M,0,1,Several times per week,12.17,50,14.6
102,28,M,0,0,Daily,7.03,32,13.18
103,25,F,1,0,Daily,13.43,37,21.78
104,44,M,0,1,Several times per week,9.29,41,13.6
105,42,F,0,1,Daily,1.01,6,10.1
106,33,M,0,1,Several times per week,9.15,43,12.77
107,37,M,0,1,Daily,13.47,41,19.71
108,32,M,0,1,Daily,6.1,35,10.46
109,51,F,0,1,Several times per week,5.17,27,11.49
110,54,M,0,1,Daily,2.78,27,6.18
111,30,M,1,0,Daily,7.19,26,16.59
112,34,M,0,1,Daily,9.12,36,15.2
113,34,M,0,1,Several times per month,0.74,4,11.1
114,43,M,0,1,Several times per week,12.85,25,30.84
115,33,F,1,1,Several times per week,8.31,42,11.87
116,29,F,0,0,Several times per week,3.22,14,13.8
117,46,M,0,1,Daily,8.14,40,12.21
118,41,F,0,1,Several times per week,3,42,4.29
119,44,F,0,1,Daily,7.84,48,9.8
120,46,F,0,1,Several times per week,5.88,26,13.57
121,38,M,0,1,Several times per week,9.01,41,13.19
