Rank,Film,Studio,Genre,Year,Gross,Gross.Dom,Pct.Dom,Gross.Ovr,Pct.Ovr,Rotten,IMDB,Rating,Days,Budget
176,Raiders of the Lost Ark,Par.,Action/Adventure,1981,389900000,248200000,0.636,141800000,0.364,95,8.6,PG,280,18
177,Star Trek,Par.,Action/Adventure,2009,385700000,257700000,0.668,128000000,0.332,95,8,PG13,147,150
178,Happy Feet,WB,Animation,2006,384300000,198000000,0.515,186300000,0.485,75,6.5,PG,175,100
179,Live Free or Die Hard,Fox,Action/Adventure,2007,383500000,134500000,0.351,249000000,0.649,81,7.3,PG13,135,110
180,Ice Age,Fox,Animation,2002,383300000,176400000,0.46,206900000,0.54,77,7.5,PG,171,59
182,Back to the Future,Uni.,Action/Adventure,1985,381100000,210600000,0.553,170500000,0.447,96,8.5,PG,141,19
183,Godzilla,Sony,Action/Adventure,1998,379000000,136300000,0.36,242700000,0.64,25,5.2,PG13,133,130
184,True Lies,Fox,Action/Adventure,1994,378900000,146300000,0.386,232600000,0.614,72,7.2,R,147,115
186,Taken 2,Fox,Action/Adventure,2012,376100000,139900000,0.372,236300000,0.628,21,6.2,PG13,140,45
187,Batman Begins,WB,Action/Adventure,2005,374200000,206900000,0.553,167400000,0.447,85,8.3,PG13,142,150
188,What Women Want,Par.,Comedy,2000,374100000,182800000,0.489,191300000,0.511,54,6.3,PG13,112,70
189,The Adventures of Tintin,Par.,Animation,2011,374000000,77600000,0.207,296400000,0.793,75,7.4,PG,93,130
190,X-Men Origins: Wolverine,Fox,Action/Adventure,2009,373100000,179900000,0.482,193200000,0.518,38,6.7,PG13,154,150
192,G.I. Joe: Retaliation,Par.,Action/Adventure,2013,371800000,122400000,0.329,249400000,0.671,28,6.1,PG13,103,130
193,Terminator Salvation,WB,Action/Adventure,2009,371400000,125300000,0.337,246000000,0.663,33,6.7,PG13,113,200
194,There's Something About Mary,Fox,Comedy,1998,369900000,176500000,0.477,193400000,0.523,83,7.1,R,137,23
195,The Fugitive,WB,Action/Adventure,1993,368900000,183900000,0.498,185000000,0.502,94,7.8,PG13,147,40
196,Jurassic Park III,Uni.,Action/Adventure,2001,368800000,181200000,0.491,187600000,0.509,49,5.8,PG13,156,93
198,Captain America: The First Avenger,Par.,Action/Adventure,2011,368600000,176700000,0.479,192000000,0.521,79,6.8,PG13,112,140
199,Hitch,Sony,Comedy,2005,368100000,179500000,0.488,188600000,0.512,69,6.6,PG13,119,70
201,Die Hard: With A Vengeance,Fox,Action/Adventure,1995,366100000,100000000,0.273,266100000,0.727,52,7.5,R,126,90
202,Notting Hill,Uni.,Comedy,1999,363900000,116100000,0.319,247800000,0.681,83,6.9,PG13,135,42
204,Fast and Furious,Uni.,Action/Adventure,2009,363200000,155100000,0.427,208100000,0.573,27,6.5,PG13,91,85
205,Ocean's Twelve,WB,Action/Adventure,2004,362700000,125500000,0.346,237200000,0.654,55,6.3,PG13,105,110
206,Planet of the Apes (2001),Fox,Action/Adventure,2001,362200000,180000000,0.497,182200000,0.503,45,5.6,PG13,115,100
209,Alvin and the Chipmunks,Fox,Animation,2007,361300000,217300000,0.601,144000000,0.399,26,5.2,PG,175,60
210,The Karate Kid,Sony,Action/Adventure,2010,359100000,176600000,0.492,182500000,0.508,66,6.2,PG,105,40
211,Home Alone 2: Lost in New York,Fox,Comedy,1992,359000000,173600000,0.484,185400000,0.516,24,6.2,PG,101,18
212,Minority Report,Fox,Action/Adventure,2002,358400000,132100000,0.369,226300000,0.631,92,7.2,PG13,132,102
213,Top Gun,Par.,Action/Adventure,1986,356800000,179800000,0.504,177000000,0.496,55,6.7,PG,177,15
215,Apollo 13,Uni.,Drama,1995,355200000,173800000,0.489,181400000,0.511,88,7.5,PG,177,62
217,X-Men: First Class,Fox,Action/Adventure,2011,353600000,146400000,0.414,207200000,0.586,88,7.8,PG13,119,160
223,Speed,Fox,Action/Adventure,1994,350400000,121200000,0.346,229200000,0.654,90,7.2,R,189,30
225,Deep Impact,Par.,Action/Adventure,1998,349500000,140500000,0.402,209000000,0.598,47,6,PG13,119,75
226,Dr. Seuss' The Lorax,Uni.,Animation,2012,348800000,214000000,0.614,134800000,0.386,54,6.3,PG,147,70
229,"I, Robot",Fox,Action/Adventure,2004,347200000,144800000,0.417,202400000,0.583,58,7,PG13,168,120
230,Hotel Transylvania,Sony,Animation,2012,346900000,148300000,0.428,198600000,0.572,43,7,PG,144,85
232,How the Grinch Stole Christmas,Uni.,Comedy,2000,345100000,260000000,0.753,85100000,0.247,53,5.8,PG,105,123
234,The Flintstones,Uni.,Comedy,1994,341600000,130500000,0.382,211100000,0.618,22,4.7,PG,157,46
235,Wanted,Uni.,Action/Adventure,2008,341400000,134500000,0.394,206900000,0.606,71,6.7,R,83,75
237,Batman Forever,WB,Action/Adventure,1995,336500000,184000000,0.547,152500000,0.453,41,5.4,PG13,147,100
239,Journey 2: The Mysterious Island,WB,Action/Adventure,2012,335300000,103900000,0.31,231400000,0.69,42,5.7,PG,140,79
242,The Curious Case of Benjamin Button,Par.,Drama,2008,333900000,127500000,0.382,206400000,0.618,73,7.8,PG13,120,150
243,Indiana Jones and the Temple of Doom,Par.,Action/Adventure,1984,333100000,179900000,0.54,153200000,0.46,85,7.6,PG,144,28
245,Back to the Future Part II,Uni.,Action/Adventure,1989,332000000,118500000,0.357,213500000,0.643,64,7.7,PG,134,40
